item_id,dim_code,n_passes,mode,mean,min,max
sciver_test_199,QLq,1,3,3,3,3
sciver_test_199,VO,1,1,1,1,1
sciver_test_20,AS,1,3,3,3,3
sciver_test_20,AT,1,4,4,4,4
sciver_test_20,MCr,1,3,3,3,3
sciver_test_20,QLl,1,3,3,3,3
sciver_test_20,QLq,1,2,2,2,2
sciver_test_20,VO,1,2,2,2,2
sciver_test_202,AS,1,3,3,3,3
sciver_test_202,AT,1,3,3,3,3
sciver_test_202,MCr,1,3,3,3,3
sciver_test_202,QLl,1,3,3,3,3
sciver_test_202,QLq,1,3,3,3,3
sciver_test_202,VO,1,2,2,2,2
sciver_test_203,AS,1,2,2,2,2
sciver_test_203,AT,1,3,3,3,3
sciver_test_203,MCr,1,3,3,3,3
sciver_test_203,QLl,1,3,3,3,3
sciver_test_203,QLq,1,2,2,2,2
sciver_test_203,VO,1,2,2,2,2
sciver_test_205,AS,1,2,2,2,2
sciver_test_205,AT,1,3,3,3,3
sciver_test_205,MCr,1,2,2,2,2
sciver_test_205,QLl,1,2,2,2,2
sciver_test_205,QLq,1,3,3,3,3
sciver_test_205,VO,1,2,2,2,2
sciver_test_207,AS,1,3,3,3,3
sciver_test_207,AT,1,3,3,3,3
sciver_test_207,MCr,1,3,3,3,3
sciver_test_207,QLl,1,1,1,1,1
sciver_test_207,QLq,1,2,2,2,2
sciver_test_207,VO,1,2,2,2,2
sciver_test_208,AS,1,2,2,2,2
sciver_test_208,AT,1,3,3,3,3
sciver_test_208,MCr,1,2,2,2,2
sciver_test_208,QLl,1,1,1,1,1
sciver_test_208,QLq,1,2,2,2,2
sciver_test_208,VO,1,1,1,1,1
sciver_test_210,AS,1,2,2,2,2
sciver_test_210,AT,1,3,3,3,3
sciver_test_210,MCr,1,2,2,2,2
sciver_test_210,QLl,1,1,1,1,1
sciver_test_210,QLq,1,2,2,2,2
sciver_test_210,VO,1,2,2,2,2
sciver_test_212,AS,1,4,4,4,4
sciver_test_212,AT,1,3,3,3,3
sciver_test_212,MCr,1,3,3,3,3
sciver_test_212,QLl,1,1,1,1,1
sciver_test_212,QLq,1,3,3,3,3
sciver_test_212,VO,1,2,2,2,2
sciver_test_213,AS,1,2,2,2,2
sciver_test_213,AT,1,3,3,3,3
sciver_test_213,MCr,1,3,3,3,3
sciver_test_213,QLl,1,2,2,2,2
sciver_test_213,QLq,1,2,2,2,2
sciver_test_213,VO,1,1,1,1,1
sciver_test_215,AS,1,2,2,2,2
sciver_test_215,AT,1,4,4,4,4
sciver_test_215,MCr,1,3,3,3,3
sciver_test_215,QLl,1,1,1,1,1
sciver_test_215,QLq,1,1,1,1,1
sciver_test_215,VO,1,2,2,2,2
sciver_test_217,AS,1,3,3,3,3
sciver_test_217,AT,1,3,3,3,3
sciver_test_217,MCr,1,3,3,3,3
sciver_test_217,QLl,1,2,2,2,2
sciver_test_217,QLq,1,3,3,3,3
sciver_test_217,VO,1,2,2,2,2
sciver_test_219,AS,1,2,2,2,2
sciver_test_219,AT,1,3,3,3,3
sciver_test_219,MCr,1,2,2,2,2
sciver_test_219,QLl,1,1,1,1,1
sciver_test_219,QLq,1,1,1,1,1
sciver_test_219,VO,1,2,2,2,2
sciver_test_22,AS,1,2,2,2,2
sciver_test_22,AT,1,3,3,3,3
sciver_test_22,MCr,1,3,3,3,3
sciver_test_22,QLl,1,2,2,2,2
sciver_test_22,QLq,1,2,2,2,2
sciver_test_22,VO,1,1,1,1,1
sciver_test_221,AS,1,3,3,3,3
sciver_test_221,AT,1,3,3,3,3
sciver_test_221,MCr,1,2,2,2,2
sciver_test_221,QLl,1,2,2,2,2
sciver_test_221,QLq,1,1,1,1,1
sciver_test_221,VO,1,2,2,2,2
sciver_test_222,AS,1,2,2,2,2
sciver_test_222,AT,1,3,3,3,3
sciver_test_222,MCr,1,2,2,2,2
sciver_test_222,QLl,1,2,2,2,2
sciver_test_222,QLq,1,3,3,3,3
sciver_test_222,VO,1,2,2,2,2
sciver_test_224,AS,1,3,3,3,3
sciver_test_224,AT,1,3,3,3,3
sciver_test_224,MCr,1,2,2,2,2
sciver_test_224,QLl,1,3,3,3,3
sciver_test_224,QLq,1,2,2,2,2
sciver_test_224,VO,1,1,1,1,1
sciver_test_226,AS,1,3,3,3,3
sciver_test_226,AT,1,4,4,4,4
sciver_test_226,MCr,1,3,3,3,3
sciver_test_226,QLl,1,4,4,4,4
sciver_test_226,QLq,1,3,3,3,3
sciver_test_226,VO,1,2,2,2,2
sciver_test_228,AS,1,3,3,3,3
sciver_test_228,AT,1,4,4,4,4
sciver_test_228,MCr,1,3,3,3,3
sciver_test_228,QLl,1,1,1,1,1
sciver_test_228,QLq,1,2,2,2,2
sciver_test_228,VO,1,1,1,1,1
sciver_test_230,AS,1,3,3,3,3
sciver_test_230,AT,1,3,3,3,3
sciver_test_230,MCr,1,3,3,3,3
sciver_test_230,QLl,1,3,3,3,3
sciver_test_230,QLq,1,3,3,3,3
sciver_test_230,VO,1,2,2,2,2
sciver_test_231,AS,1,3,3,3,3
sciver_test_231,AT,1,4,4,4,4
sciver_test_231,MCr,1,4,4,4,4
sciver_test_231,QLl,1,3,3,3,3
sciver_test_231,QLq,1,3,3,3,3
sciver_test_231,VO,1,2,2,2,2
sciver_test_233,AS,1,2,2,2,2
sciver_test_233,AT,1,3,3,3,3
sciver_test_233,MCr,1,3,3,3,3
sciver_test_233,QLl,1,1,1,1,1
sciver_test_233,QLq,1,3,3,3,3
sciver_test_233,VO,1,2,2,2,2
sciver_test_235,AS,1,3,3,3,3
sciver_test_235,AT,1,3,3,3,3
sciver_test_235,MCr,1,3,3,3,3
sciver_test_235,QLl,1,2,2,2,2
sciver_test_235,QLq,1,2,2,2,2
sciver_test_235,VO,1,2,2,2,2
sciver_test_237,AS,1,3,3,3,3
sciver_test_237,AT,1,3,3,3,3
sciver_test_237,MCr,1,3,3,3,3
sciver_test_237,QLl,1,3,3,3,3
sciver_test_237,QLq,1,3,3,3,3
sciver_test_237,VO,1,2,2,2,2
sciver_test_239,AS,1,3,3,3,3
sciver_test_239,AT,1,3,3,3,3
sciver_test_239,MCr,1,3,3,3,3
sciver_test_239,QLl,1,3,3,3,3
sciver_test_239,QLq,1,2,2,2,2
sciver_test_239,VO,1,2,2,2,2
sciver_test_24,AS,1,2,2,2,2
sciver_test_24,AT,1,4,4,4,4
sciver_test_24,MCr,1,2,2,2,2
sciver_test_24,QLl,1,3,3,3,3
sciver_test_24,QLq,1,3,3,3,3
sciver_test_24,VO,1,2,2,2,2
sciver_test_242,AS,1,2,2,2,2
sciver_test_242,AT,1,4,4,4,4
sciver_test_242,MCr,1,2,2,2,2
sciver_test_242,QLl,1,3,3,3,3
sciver_test_242,QLq,1,3,3,3,3
sciver_test_242,VO,1,2,2,2,2
sciver_test_245,AS,1,2,2,2,2
sciver_test_245,AT,1,3,3,3,3
sciver_test_245,MCr,1,2,2,2,2
sciver_test_245,QLl,1,1,1,1,1
sciver_test_245,QLq,1,2,2,2,2
sciver_test_245,VO,1,2,2,2,2
sciver_test_249,AS,1,3,3,3,3
sciver_test_249,AT,1,4,4,4,4
sciver_test_249,MCr,1,3,3,3,3
sciver_test_249,QLl,1,3,3,3,3
sciver_test_249,QLq,1,3,3,3,3
sciver_test_249,VO,1,2,2,2,2
sciver_test_25,AS,1,3,3,3,3
sciver_test_25,AT,1,4,4,4,4
sciver_test_25,MCr,1,3,3,3,3
sciver_test_25,QLl,1,3,3,3,3
sciver_test_25,QLq,1,3,3,3,3
sciver_test_25,VO,1,2,2,2,2
sciver_test_254,AS,1,3,3,3,3
sciver_test_254,AT,1,3,3,3,3
sciver_test_254,MCr,1,2,2,2,2
sciver_test_254,QLl,1,2,2,2,2
sciver_test_254,QLq,1,2,2,2,2
sciver_test_254,VO,1,1,1,1,1
sciver_test_258,AS,1,3,3,3,3
sciver_test_258,AT,1,4,4,4,4
sciver_test_258,MCr,1,3,3,3,3
sciver_test_258,QLl,1,1,1,1,1
sciver_test_258,QLq,1,2,2,2,2
sciver_test_258,VO,1,2,2,2,2
sciver_test_26,AS,1,3,3,3,3
sciver_test_26,AT,1,3,3,3,3
sciver_test_26,MCr,1,2,2,2,2
sciver_test_26,QLl,1,2,2,2,2
sciver_test_26,QLq,1,2,2,2,2
sciver_test_26,VO,1,1,1,1,1
sciver_test_260,AS,1,3,3,3,3
sciver_test_260,AT,1,4,4,4,4
sciver_test_260,MCr,1,3,3,3,3
sciver_test_260,QLl,1,1,1,1,1
sciver_test_260,QLq,1,3,3,3,3
sciver_test_260,VO,1,2,2,2,2
sciver_test_261,AS,1,3,3,3,3
sciver_test_261,AT,1,3,3,3,3
sciver_test_261,MCr,1,3,3,3,3
sciver_test_261,QLl,1,2,2,2,2
sciver_test_261,QLq,1,2,2,2,2
sciver_test_261,VO,1,1,1,1,1
sciver_test_262,AS,1,3,3,3,3
sciver_test_262,AT,1,3,3,3,3
sciver_test_262,MCr,1,3,3,3,3
sciver_test_262,QLl,1,3,3,3,3
sciver_test_262,QLq,1,3,3,3,3
sciver_test_262,VO,1,2,2,2,2
sciver_test_264,AS,1,3,3,3,3
sciver_test_264,AT,1,4,4,4,4
sciver_test_264,MCr,1,3,3,3,3
sciver_test_264,QLl,1,3,3,3,3
sciver_test_264,QLq,1,2,2,2,2
sciver_test_264,VO,1,2,2,2,2
sciver_test_265,AS,1,3,3,3,3
sciver_test_265,AT,1,3,3,3,3
sciver_test_265,MCr,1,3,3,3,3
sciver_test_265,QLl,1,3,3,3,3
sciver_test_265,QLq,1,0,0,0,0
sciver_test_265,VO,1,2,2,2,2
sciver_test_267,AS,1,3,3,3,3
sciver_test_267,AT,1,3,3,3,3
sciver_test_267,MCr,1,3,3,3,3
sciver_test_267,QLl,1,3,3,3,3
sciver_test_267,QLq,1,3,3,3,3
sciver_test_267,VO,1,2,2,2,2
sciver_test_269,AS,1,3,3,3,3
sciver_test_269,AT,1,4,4,4,4
sciver_test_269,MCr,1,3,3,3,3
sciver_test_269,QLl,1,3,3,3,3
sciver_test_269,QLq,1,3,3,3,3
sciver_test_269,VO,1,1,1,1,1
sciver_test_27,AS,1,3,3,3,3
sciver_test_27,AT,1,4,4,4,4
sciver_test_27,MCr,1,3,3,3,3
sciver_test_27,QLl,1,3,3,3,3
sciver_test_27,QLq,1,2,2,2,2
sciver_test_27,VO,1,2,2,2,2
sciver_test_271,AS,1,3,3,3,3
sciver_test_271,AT,1,3,3,3,3
sciver_test_271,MCr,1,1,1,1,1
sciver_test_271,QLl,1,2,2,2,2
sciver_test_271,QLq,1,2,2,2,2
sciver_test_271,VO,1,1,1,1,1
sciver_test_273,AS,1,3,3,3,3
sciver_test_273,AT,1,3,3,3,3
sciver_test_273,MCr,1,2,2,2,2
sciver_test_273,QLl,1,3,3,3,3
sciver_test_273,QLq,1,2,2,2,2
sciver_test_273,VO,1,2,2,2,2
sciver_test_275,AS,1,3,3,3,3
sciver_test_275,AT,1,3,3,3,3
sciver_test_275,MCr,1,3,3,3,3
sciver_test_275,QLl,1,3,3,3,3
sciver_test_275,QLq,1,3,3,3,3
sciver_test_275,VO,1,2,2,2,2
sciver_test_277,AS,1,2,2,2,2
sciver_test_277,AT,1,3,3,3,3
sciver_test_277,MCr,1,2,2,2,2
sciver_test_277,QLl,1,2,2,2,2
sciver_test_277,QLq,1,3,3,3,3
sciver_test_277,VO,1,2,2,2,2
sciver_test_278,AS,1,3,3,3,3
sciver_test_278,AT,1,3,3,3,3
sciver_test_278,MCr,1,3,3,3,3
sciver_test_278,QLl,1,3,3,3,3
sciver_test_278,QLq,1,2,2,2,2
sciver_test_278,VO,1,2,2,2,2
sciver_test_281,AS,1,3,3,3,3
sciver_test_281,AT,1,3,3,3,3
sciver_test_281,MCr,1,2,2,2,2
sciver_test_281,QLl,1,1,1,1,1
sciver_test_281,QLq,1,1,1,1,1
sciver_test_281,VO,1,2,2,2,2
sciver_test_283,AS,1,2,2,2,2
sciver_test_283,AT,1,4,4,4,4
sciver_test_283,MCr,1,2,2,2,2
sciver_test_283,QLl,1,3,3,3,3
sciver_test_283,QLq,1,2,2,2,2
sciver_test_283,VO,1,2,2,2,2
sciver_test_284,AS,1,3,3,3,3
sciver_test_284,AT,1,3,3,3,3
sciver_test_284,MCr,1,4,4,4,4
sciver_test_284,QLl,1,2,2,2,2
sciver_test_284,QLq,1,3,3,3,3
sciver_test_284,VO,1,2,2,2,2
sciver_test_287,AS,1,3,3,3,3
sciver_test_287,AT,1,4,4,4,4
sciver_test_287,MCr,1,3,3,3,3
sciver_test_287,QLl,1,4,4,4,4
sciver_test_287,QLq,1,3,3,3,3
sciver_test_287,VO,1,2,2,2,2
sciver_test_29,AS,1,3,3,3,3
sciver_test_29,AT,1,4,4,4,4
sciver_test_29,MCr,1,3,3,3,3
sciver_test_29,QLl,1,3,3,3,3
sciver_test_29,QLq,1,3,3,3,3
sciver_test_29,VO,1,2,2,2,2
sciver_test_290,AS,1,2,2,2,2
sciver_test_290,AT,1,3,3,3,3
sciver_test_290,MCr,1,3,3,3,3
sciver_test_290,QLl,1,3,3,3,3
sciver_test_290,QLq,1,2,2,2,2
sciver_test_290,VO,1,1,1,1,1
